MANUFACTURER_NAME	MFG_CODE	PART_NUMBER	PRICE	MSRP	MAP_PRICE	SERIALIZED	TANGIBLE	WEIGHT	COUNTRY_OF_ORIGIN	PRODUCT_DESCRIPTION	CATEGORY	IN_STOCK	LOC_01	LOC_02	LOC_03	LOC_04	LOC_05	LOC_06	LOC_07	LOC_08	LOC_09	LOC_10	ORG
HONEYWELL SERVICE	HSV	SVCH4604-SP3N	1690.41	2561.22	2561.2	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH4604-SP5N	3030.57	4591.78	4591.7	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, PLATINUM, 2 DAY, 5 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCREPLACE-SCN1	7.53	11.41	11.41	N	N	1	US	HONEYWELL ADDON,EDGE SERVICE,DEVICE REPLACEMENT,SCANNER,1Y	HWA.SERVICES.EDGE ADDON SCAN..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCREPLACE-SCN3	18.57	28.13	28.13	N	N	1	US	HONEYWELL, SERVICE, ADDON, EDGE SERVICE, DEVICE REPLACEMENT, SCANNER, 3 YEAR	HWA.SERVICES.EDGE ADDON SCAN..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCREPLACE-SCN5	33.61	50.93	50.93	N	N	1	CN	HONEYWELL, ADDON, REPAIR SERVICE, DEVICE REPLACEMENT, SCANNER, 5 YEAR	HWA.SERVICES.EDGE ADDON SCAN..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCRL3-SG3N	154.42	233.97	233.97	N	N	1	US	HONEYWELL, SERVICE, RL3, EDGE SERVICE, GOLD, 5 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCRL3-SP3N	297.82	451.24	451.24	N	N	1	US	HONEYWELL, SERVICE, RL3, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCM4308-SP1R	745.01	1128.80	1128.8	N	N	1	US	HONEYWELL, SERVICE, M-CLASS, EDGE SERVICE, PLATINUM, 2 DAY, 5 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL PRINT PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCPB32-SG1R	59.96	90.85	90.85	N	N	1	US	HONEYWELL, PB32, EDGE SERVICE, GOLD, 5 DAY, 1 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL PRINT GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCVM2-SG3N	493.39	747.56	747.56	N	N	1	US	HONEYWELL, SERVICE, VM2, EDGE SERVICE, GOLD, 5 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCVM3-SG1R	245.82	372.46	372.46	N	N	1	US	HONEYWELL VM3,EDGE SERVICE,GOLD,5D,1Y,RENEWAL	HWA.SERVICES.RENEWAL MOBILITY..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCVM3-SG3N	607.46	920.39	920.39	N	N	1	US	HONEYWELL,VM3,EDGE SERVICE,GOLD,5 DAY,3 YEAR,NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCVM3-SG5N	1090.14	1651.73	1651.7	N	N	1	US	HONEYWELL, VM3, EDGE SERVICE, GOLD, 5 DAY, 5 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCVM3-SP1R	349.43	529.44	529.44	N	N	1	US	HONEYWELL, SERVICE, VM3, EDGE SERVICE, PLATINUM, 2 DAY, 5 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL MOBILITY PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCVM3-SP3N	864.72	1310.18	1310.1	N	N	1	US	HONEYWELL, SERVICE, VM3, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN75-SG1R	107.71	163.19	163.19	N	N	1	US	HONEYWELL, SERVICE, CN75, EDGE SERVICE, GOLD, 5 DAY, 1 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN75-SG3N	245.12	371.39	371.39	N	N	1	US	HONEYWELL, SERVICE, CN75, EDGE SERVICE, GOLD, 5 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN80-SG1R	99.05	150.08	150.08	N	N	1	US	HONEYWELL, SERVICE, CN80, EDGE SERVICE, GOLD, 5 DAY, 1 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN80-SG3N	289.15	438.10	438.10	N	N	1	US	HONEYWELL, SERVICE CONTRACT,CN80,EDGE SERVICE,GOLD,5 DAY,3 YEAR,NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN80-SG5N	483.67	732.84	732.84	N	N	1	US	HONEYWELL CN80,EDGE SERVICE,GOLD CONTRACT,5 YEAR,INITIAL CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN80-SP1R	271.95	412.04	412.04	N	N	1	US	HONEYWELL, SERVICE, CN80, EDGE SERVICE, PLATINUM, 2 DAY, 1 YEAR, RENEWAL	HWA.SERVICES.EDGE RENEWAL MOBILITY PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN80-SP3N	671.09	1016.81	1016.8	N	N	1	US	HONEYWELL, SERVICE, CN80, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCCN80-SP5N	1205.09	1825.90	1825.9	N	N	1	US	HONEYWELL,CN80,EDGE SERVICE,PLATINUM,2 DAY,5 YEAR,NEW CONTRACT	HWA.SERVICES.EDGE NEW MOBILITY PLATINUM..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH6310-SG3N	838.29	1270.14	1270.1	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, GOLD, 5 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH6310-SG5N	1503.77	2278.44	2278.4	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, GOLD, 5 DAY, 5 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT GOLD..	0	0	0									121
HONEYWELL SERVICE	HSV	SVCH6310-SP3N	1257.43	1905.20	1905.2	N	N	1	US	HONEYWELL, SERVICE, H-CLASS, EDGE SERVICE, PLATINUM, 2 DAY, 3 YEAR, NEW CONTRACT	HWA.SERVICES.EDGE NEW PRINT PLATINUM..	0	0	0									121
