Item Description,Model #,Qty,Department,Product Type,Subcategory,Category,Retail,Ext. Retail,Brand,Weight,Ext. Weight,UPC
Beige Linen Upholstered Single Sofa Accent Chair (Set of 2) with Solid Wood Frame and Soft Pillow for Living Room,TN-ACSF-BG-2,1,Furniture,Living Room Furniture,Chairs,OUTDOOR SEASONAL,286.18,286.18,WONDER COMFORT,56,56,"758344328099,"
Kanwyn Distressed White 3 Drawer Nightstand,B777-93,1,Furniture,Bedroom Furniture,Nightstands,OUTDOOR SEASONAL,269.99,269.99,Signature DESIGN BY ASHLEY,55,55,"024052513899,"
26 in. x 26 in. x 4 in. (14-Piece) Deep Seating Outdoor Lounge Chair Sectional Cushion Terra Red,1-4-liner-Terra,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,269,269,WNP,200,200,"755097796564,"
"40V Cordless Attachment Capable 15"" String Trimmer & 550 CFM 120 MPH Blower Combo Kit with 4.0 Ah Battery & Charger",RY40CK201K,1,Outdoors,Outdoor Power Equipment,Outdoor Power Combo Kits,OUTDOOR SEASONAL,249,249,RYOBI,200,200,"046396052704,"
Genesis Grill 300 Series Rust-Resistant Griddle Insert,6788,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,249,249,Weber,38.1,38.1,"077924193750,"
Genesis Grill 300 Series Rust-Resistant Griddle Insert,6788,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,249,249,Weber,38.1,38.1,"077924193750,"
"Garden Retractable Hose Reel-1/2 in. to 155 ft. Wall Mounted, Dark Grey",AW5012US,1,Outdoors,Garden Center,Watering & Irrigation,OUTDOOR SEASONAL,239.99,239.99,Giraffe Tools,25,25,"850058569093,"
17 in. W x 20 in. D Mid Back Universal Outdoor Cushion in Putty Beige (Set of 6),8867HD-7382B-C0,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,239.99,239.99,Hampton Bay,200,200,"192658418556,"
7.5 ft. Bronze Aluminum Market Patio Umbrella with Fiberglass Ribs and Auto Tilt in Hot Pink Sunbrella,V-LCW22-0090-BG,1,Outdoors,Patio Furniture,Patio Umbrellas,OUTDOOR SEASONAL,223.9,223.9,California Umbrella,13,13,"194061250563,"
800 lb. Capacity Appliance Hand Truck,HDA700,1,,,,OUTDOOR SEASONAL,221.76,221.76,,25,25,
20 ft. x 16 ft. 260 GSM Reinforced (Super Ring) Black Rectangle Sun Shade Sail,TAWR1620-2,1,Storage & Organization,Outdoor Storage,Shade Structures,OUTDOOR SEASONAL,203.07,203.07,COLOURTREE,10,10,"810049193546,"
(4-Piece) Black Wicker Outdoor Patio Conversation Set with Charcoal-Gray Cushions and Loveseat,ZJBRWT001,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,199.99,199.99,JUSKYS,25,25,"764155476393,"
"3-Burner BBQ Liquid Propane Gas Grill with Front Spice Rack, 2 Side Shelves and Hooks, Cart Style, Black, for Outdoor",GH3001H,1,Outdoors,Outdoor Cooking,Grills,OUTDOOR SEASONAL,199.99,199.99,Royal Gourmet,47.4,47.4,"810001892357,"
Black Ergonomic C-Spring Textilene Metal Patio Outdoor Dining Chair (2-Pack),THD-E02GF105,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,197.79,197.79,PHI VILLA,50.55,50.55,"670724019253,"
10 ft x 10 ft Grey Outdoor Patio Gazebo Canopy with Removable Mesh Curtains & Display Shelves,84C-028GY,1,Storage & Organization,Outdoor Storage,Shade Structures,OUTDOOR SEASONAL,190,190,Outsunny,69.16,69.16,"842525181297,"
Drew 52 in. Cherry Veneer Rectangle MDF Coffee Table,THY100CT,1,Furniture,Living Room Furniture,Coffee Tables,OUTDOOR SEASONAL,181.83,181.83,Picket House Furnishings,66,66,"848853077271,"
Metal Outdoor Patio Adjustable Chaise Lounge Chairs in Dark Gray (Set of 2),PB-LG031DGY-2,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,180.99,180.99,Pellebant,50.48,50.48,"689590894765,"
27 x 23 x 22 Deep Seating Indoor/Outdoor Pillow and Cushion Chair Set in Sunbrella Canvas Cloud,HD656031TESCP,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,179.5,179.5,SORRA HOME,25,25,"196999214686,"
"Lesa Modern Linen Upholstered Accent Arm Chair, Navy Blue",111873,1,Furniture,Living Room Furniture,Chairs,OUTDOOR SEASONAL,174.27,174.27,CHRISTOPHER KNIGHT HOME,27.55,27.55,"637162116081,"
GLENRIDGE FALLS RECTANGULAR STEEL OU,FRS80433DR-STT,1,,,,OUTDOOR SEASONAL,162.23,162.23,,25,25,
16.5 in. White Finish Rectangle Wood End Table,R6-156-243-HD,1,Furniture,Living Room Furniture,Accent Tables,OUTDOOR SEASONAL,159.63,159.63,HOME IMPORTS EMPORIUM,29,29,"022791020319,"
16.5 in. White Finish Rectangle Wood End Table,R6-156-243-HD,1,Furniture,Living Room Furniture,Accent Tables,OUTDOOR SEASONAL,159.63,159.63,HOME IMPORTS EMPORIUM,29,29,"022791020319,"
Modern Black Nightstand with 3 Storage Drawers and Led Lights,BL-FR14737,1,Furniture,Bedroom Furniture,Nightstands,OUTDOOR SEASONAL,159.28,159.28,Boyel Living,39.68,39.68,"717365476189,"
11 ft. x 11 ft. Black Steel Pop-up Gazebo with Mosquito Netting,J06-BLACK-LK2,1,Storage & Organization,Outdoor Storage,Shade Structures,OUTDOOR SEASONAL,159,159,JOYSIDE,42.33,42.33,"761873075020,"
14 in. W x 20.3 in. H x 23 in. D Outdoor Kitchen Drawers Flush Mount Triple Drawers Stainless Steel Access Drawer,20.25X14YC3CBXG,1,Outdoors,Outdoor Cooking,Outdoor Kitchens,OUTDOOR SEASONAL,157.99,157.99,VEVOR,39.46,39.46,"754194521963,"
"White 6-Drawers 31.5 in. W Wood Chest of Drawer Dresser, 47.4 in. H x 15.7 D",KF020273-01-cc,1,Furniture,Bedroom Furniture,Chest Of Drawers,OUTDOOR SEASONAL,156.77,156.77,FUFU&GAGA,90,90,"765899863173,"
25.6 in. White Faux Fur Upholstered Bench with Acrylic X-Leg,2001300001,1,Furniture,Bedroom Furniture,Bedroom Benches,OUTDOOR SEASONAL,155.51,155.51,Glitzhome,17.05,17.05,"6941327111328,"
Brown Wicker Outdoor Rocking Chair with Blue Cushion (1-Pack),MS-SSBR30-1A,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,154.99,154.99,moosprr,24.7,24.7,"762139700052,"
Mason Orange Adirondack HDPE Plastic Outdoor Rocking Chair,OP5003-OR,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,141.58,141.58,WESTIN OUTDOOR,45.5,45.5,"612789893119,"
Mason Orange Adirondack HDPE Plastic Outdoor Rocking Chair,OP5003-OR,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,141.58,141.58,WESTIN OUTDOOR,45.5,45.5,"612789893119,"
Roanhowe 24.13 in. Brown Rectangle Wood End Table with Shelf and Drawer,T769-3,1,Furniture,Living Room Furniture,Accent Tables,OUTDOOR SEASONAL,140.07,140.07,Signature DESIGN BY ASHLEY,49,49,"024052870428,"
