sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
89654,19030,0,0,0,112.07,,
89656,PS1AUTO,2,0,2,221.83,,
89657,PS2AUTO,2,0,2,340.98,,
89658,PS3AUTO,2,1,1,494.39,,
89659,PS4AUTO,0,0,0,640.12,,
89662,28104C,0,0,0,74.71,,
89664,28105C,0,0,0,74.71,,
89666,28106C,0,0,0,60.26,,
89668,28107C,0,0,0,67.49,,
89669,V8-MANL30,6,4,2,2.5,3.99,
89670,V8-MANL40,3,1,2,2.5,3.99,
89671,V8-MANL60,8,4,4,2.27,3.99,
89672,V8-MANL80,2,0,2,2.5,3.99,
89673,V8-MANL100,0,0,0,2.5,3.99,
89674,V8-MANL125,0,0,0,2.5,3.99,
89675,SS1AUTO,2,0,2,185.0,,
89676,V8MANL150,0,0,0,2.43,,
89677,SS2AUTO,1,0,1,284.88,,
89678,SS3AUTO,5,1,4,416.95,,
89679,SS4AUTO,1,0,1,554.02,,
89708,V10R1-5,0,0,0,9.6,16.99,
89711,V10R3,2,0,2,10.01,17.99,
89712,V10R6,2,2,0,10.4,17.99,
89713,V10R10,0,0,0,11.09,19.99,
89714,V10R14,0,0,0,11.86,20.99,
89715,V10R17,0,0,0,12.83,22.99,
89716,V10R20,0,0,0,13.31,23.99,
89717,V10RY1,0,0,0,8.24,14.99,
89718,V10RY2,0,0,0,8.24,14.99,
89719,V10R174,0,0,0,22.24,38.99,
89720,V10R176,0,0,0,35.63,61.99,
89721,V10R3V,0,0,0,8.82,15.99,
89722,V10R9V,0,0,0,11.22,19.99,
89723,V10R20V,0,0,0,15.13,26.99,
89725,AS1562,42,26,16,16.9,,
89727,100-397-071-10,0,0,0,33.64,,
89729,SWM-30 KIT,2,1,1,144.99,,
89740,10104,11,6,5,149.28,,
89742,30101,0,0,0,49.8,,
89743,30102,4,2,2,49.8,,
89746,41218,0,0,0,51.83,,
89747,41220,0,0,0,51.83,,
89748,41224,0,0,0,51.83,,
89750,41262,0,0,0,51.83,,
89752,20001,0,0,0,443.38,,
89757,SLC-11,0,0,0,277.31,357.0,
89759,ORI122421226,19,10,9,221.17,,272.85
89760,F38-6000-G,229,11,218,22.09,,
89761,F38-6000-R,84,21,63,22.09,,
89763,9108821279,2,0,2,2070.59,,
89764,9108844174,3,0,3,1826.47,,
89765,9108850337,1,0,1,1961.76,,
89766,9108732762,2,0,2,1767.65,,
89768,9108732759,2,0,2,1902.94,,
89769,9108732755,2,0,2,2011.76,,
